status,institution,notes,link
faculty status and tenure,"Adelphi University, Garden City, NY",,https://operations.adelphi.edu/catalog/tenure/
faculty status and tenure,"Appalachian State University, Boone, NC",,https://library.appstate.edu/sites/library.appstate.edu/files/library_faculty_guidelines_2018_06_27.pdf
faculty status and tenure,"Auburn University, Auburn, AL",,https://www.auburn.edu/academic/provost/departmentp&t/Libraries/Auburn_Univeristy_Libraries_P__T_Guidelines_February_2013.pdf
faculty status and tenure,"Augusta State University, Augusta, GA",,
faculty status and tenure,"Austin Peay State University, Clarksville, TN",,
faculty status and tenure,"Binghamton University, State University of New York",,
faculty status and tenure,"Bloomsburg University, Bloomsburg, PA",,
faculty status and tenure,"Boise State University, Boise, ID",,https://library.boisestate.edu/wp-content/uploads/2017/12/Library-T-P-Guidelines-2017-04-26.pdf
faculty status and tenure,"California Polytechnic State University, San Luis Obispo",,https://academic-personnel.calpoly.edu/content/resources
faculty status and tenure,California State University,23 campuses,
faculty status and tenure,"California University, California, PA",,
faculty status and tenure,"The Citadel, Charleston, SC",,
faculty status and tenure,City College of San Francisco,,
faculty status and tenure,City University of New York,multiple campuses,
faculty status and tenure,"Clarion University, Clarion, PA",,http://www.clarion.edu/about-clarion/offices-and-administration/university-support-and-business/human-resources/faculty-evaluation-guide/
faculty status and tenure,"Clemson University, Clemson, SC",,https://www.clemson.edu/faculty-staff/faculty-senate/shared-governance/documents/tpr/library.pdf
faculty status and tenure,"College of New Jersey, Ewing, NJ",,
faculty status and tenure,Colorado State,,
faculty status and tenure,"Community College of Philadelphia, Philadelphia, PA",,
faculty status and tenure,"Dominican University, River Forest, IL",,
faculty status and tenure,East Carolina University,,
faculty status and tenure,"East Stroudsburg University, East Stroudsburg, PA",,
faculty status and tenure,Eastern Michigan University,,
faculty status and tenure,"Edinboro University, Edinboro, PA",,
faculty status and tenure,Elmhurst College,,
faculty status and tenure,Ferris State University,,
faculty status and tenure,"Fort Lewis College, Durango, CO",,
faculty status and tenure,"Georgia Southern University, Statesboro, GA",,
faculty status and tenure,"Golden West College, Huntington Beach, CA",,
faculty status and tenure,"Gonzaga University, Spokane, WA",,
faculty status and tenure,Grand Valley State University,,
faculty status and tenure,Gustavus Adolphus College,,
faculty status and tenure,"Hofstra University, Hempstead, NY",,
faculty status and tenure,Humboldt State University,,
faculty status and tenure,"Huntingdon College, Montgomery, AL",,
faculty status and tenure,Idaho State University,,
faculty status and tenure,"Illinois State University, Normal, IL",,
faculty status and tenure,"Illinois Wesleyan University, Bloomington, IL",,
faculty status and tenure,Indiana State University,,
faculty status and tenure,Indiana University – Bloomington,,
faculty status and tenure,Indiana University – Indianapolis,,
faculty status and tenure,Indiana University – Kokomo,,
faculty status and tenure,"Indiana University of Pennsylvania, Indiana, PA",,
faculty status and tenure,James Madison University,,
faculty status and tenure,"John Carroll University, Cleveland, OH",,
faculty status and tenure,"Kent State University, Kent, OH",,
faculty status and tenure,"Kutztown University, Kutztown, PA",,
faculty status and tenure,Lamar University,,
faculty status and tenure,"Lock Haven University, Lock Haven, PA",,
faculty status and tenure,Long Island University,,
faculty status and tenure,Los Angeles Harbor College,,
faculty status and tenure,Louisiana State University,,
faculty status and tenure,"Loyola University, New Orleans",,
faculty status and tenure,Luther College,,
faculty status and tenure,"Mansfield University, Mansfield, PA",,
faculty status and tenure,"Maricopa County Community College District, Maricopa County, AZ",ten colleges,
faculty status and tenure,"McGill University, Montreal, Canada",,http://www.mcgill.ca/library-rttoolkit/home-page
faculty status and tenure,"The Medical University of South Carolina, Charleston, SC",,
faculty status and tenure,Miami Dade College,,
faculty status and tenure,Middle Tennessee State University,,
faculty status and tenure,"Millersville University, Millersville, PA",,
faculty status and tenure,Minnesota State University– all campuses,,http://ifo.org/Agree07/IFOCBA07-09.PDF
faculty status and tenure,Mississippi State University,,http://library.msstate.edu/library/policies/MSU%20Libraries%20Promotion%20and%20Tenure%20Document%20-%202013.pdf
faculty status and tenure,Montana State University,,
faculty status and tenure,Montclair State University,,
faculty status and tenure,Moorpark College,,
faculty status and tenure,Murray State University,,
faculty status and tenure,"New Mexico State University, Main Campus",,
faculty status and tenure,New York University,,
faculty status and tenure,Northern Kentucky University,,
faculty status and tenure,"Northern Michigan University, Marquette, MI",,
faculty status and tenure,"Oakland University, Rochester, MI",,
faculty status and tenure,"Ohio Northern University, Ada, OH",,
faculty status and tenure,"Ohio State University, Main Campus",,https://library.osu.edu/document-registry/docs/1017/stream
faculty status and tenure,"Ohio State University, Lima Campus",,
faculty status and tenure,Oklahoma State University,,
faculty status and tenure,Oregon State University,,http://oregonstate.edu/admin/aa/faculty-handbook-promotion-and-tenure-guidelines
faculty status and tenure,Our Lady of the Lake University of San Antonio,,
faculty status and tenure,Oxnard College,,
faculty status and tenure,The Pennsylvania State University,,
faculty status and tenure,Portland State University,,
faculty status and tenure,Ramapo College of NJ,,
faculty status and tenure,"Rider University, Lawrenceville, NJ",,https://www.rideraaup.net/contract.html
faculty status and tenure,Sam Houston State University,,
faculty status and tenure,San Diego State University,,
faculty status and tenure,San Francisco State University,,
faculty status and tenure,San Jose State University,,
faculty status and tenure,"Shippensburg University, Shippensburg, PA",,
faculty status and tenure,"Slippery Rock University, Slippery Rock, PA",,
faculty status and tenure,Sonoma State University,,
faculty status and tenure,"Southern Connecticut State University, New Haven, CT",,
faculty status and tenure,Southern Illinois University Edwardsville,,
faculty status and tenure,Southern Oregon University,,https://inside.sou.edu/senate/constitution/index.html
faculty status and tenure,"Southern Utah University, Cedar City, UT",,
faculty status and tenure,"Southeast Missouri State University (Kent Library), Cape Girardeau, MO",,
faculty status and tenure,"Southwestern Oklahoma State University, Weatherford, OK",,
faculty status and tenure,"St. Cloud State University, Minnesota",,
faculty status and tenure,"State University of New York, Buffalo",,
faculty status and tenure,"Stephen F. Austin State University, Nacogdoches, TX",,
faculty status and tenure,"Stetson University, DeLand, FL",,
faculty status and tenure,"Stony Brook University, NY, State University of New York",,
faculty status and tenure,Tennessee Technological University,,
faculty status and tenure,Texas Tech University,,
faculty status and tenure,"Trinity University, San Antonio, TX",,
faculty status and tenure,University of Alabama at Tuscaloosa,,
faculty status and tenure,University of Albany,,
faculty status and tenure,University of Arizona,,
faculty status and tenure,University of Arkansas – Fayetteville campus,,http://libinfo.uark.edu/webdocs/humanresources/facpersonneldoc.pdf
faculty status and tenure,University of Arkansas at Little Rock,,
faculty status and tenure,"University at Buffalo, State University of New York",,http://www.business.buffalo.edu/UbbContent/Hrs/facultyhandbook/III.htm
faculty status and tenure,"University of Central Arkansas, Conway, AR",Tenure-track is not required,
faculty status and tenure,University of Cincinnati,,http://www.uc.edu/libraryfaculty.html
faculty status and tenure,"University of Dayton, Dayton, OH",,
faculty status and tenure,University of Hawaii,,
faculty status and tenure,University of Idaho,,
